,Close
2024-11-01 00:00:00+00:00,259.4927
2024-11-02 00:00:00+00:00,260.51724
2024-11-03 00:00:00+00:00,261.47095
2024-11-04 00:00:00+00:00,262.02505
2024-11-05 00:00:00+00:00,262.22745
2024-11-06 00:00:00+00:00,262.18597
2024-11-07 00:00:00+00:00,261.99747
2024-11-08 00:00:00+00:00,261.73196
2024-11-09 00:00:00+00:00,261.43466
2024-11-10 00:00:00+00:00,261.13327
2024-11-11 00:00:00+00:00,260.84433
2024-11-12 00:00:00+00:00,260.57782
2024-11-13 00:00:00+00:00,260.3389
2024-11-14 00:00:00+00:00,260.13034
2024-11-15 00:00:00+00:00,259.95236
2024-11-16 00:00:00+00:00,259.80374
2024-11-17 00:00:00+00:00,259.68225
2024-11-18 00:00:00+00:00,259.58487
2024-11-19 00:00:00+00:00,259.5085
2024-11-20 00:00:00+00:00,259.4498
2024-11-21 00:00:00+00:00,259.4056
2024-11-22 00:00:00+00:00,259.3731
2024-11-23 00:00:00+00:00,259.34976
2024-11-24 00:00:00+00:00,259.33334
2024-11-25 00:00:00+00:00,259.32224
2024-11-26 00:00:00+00:00,259.31506
2024-11-27 00:00:00+00:00,259.31076
2024-11-28 00:00:00+00:00,259.30853
2024-11-29 00:00:00+00:00,259.30786
2024-11-30 00:00:00+00:00,259.3084
